capture_date,competitor,product_name,product_type,bottle_count,total_price,price_per_bottle,purchase_type,subscription_frequency,prepaid_terms,variant_options,currency,availability,source_url,notes
2026-07-20T22:30:47.039Z,Soda Pop Online,Muscle M Banana Creme,6-pack,6,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/muscle-m-banana-creme,
2026-07-20T22:30:51.272Z,Soda Pop Online,ONE Coconut Pineapple 16.9oz,6-pack,6,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/one-coconut-pineapple-16-9oz,
2026-07-20T22:30:53.284Z,Soda Pop Online,There was a problem loading this website,quantity unknown,,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/one-coconut-mango-16-9oz,Bottle count could not be determined automatically.
2026-07-20T22:30:56.338Z,Soda Pop Online,Zico Coconut Chocolate 14oz,quantity unknown,,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/zico-coconut-chocolate-14oz,Bottle count could not be determined automatically.
2026-07-20T22:30:59.525Z,Soda Pop Online,Monster Rehad Tea Pink Lemon,12-pack,12,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/monster-rehad-tea-pink-lemonade,
2026-07-20T22:31:02.608Z,Soda Pop Online,Monster Absolutely Zero 16oz,6-pack,6,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/monster-absolutely-zero-16oz,
2026-07-20T22:31:05.708Z,Soda Pop Online,OceanSpray Cranbery Juice 32oz,quantity unknown,,2.99,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/oceanspray-cranbery-juice-32oz,Bottle count could not be determined automatically.
2026-07-20T22:31:09.084Z,Soda Pop Online,OceanSpray Grapefruit 32oz,quantity unknown,,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/oceanspray-grapefruit,Bottle count could not be determined automatically.
2026-07-20T22:31:12.486Z,Soda Pop Online,Tropicana Cranberry Juice 32oz,quantity unknown,,3.99,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/tropicana-cranberry-juice-32oz,Bottle count could not be determined automatically.
2026-07-20T22:31:14.507Z,Soda Pop Online,There was a problem loading this website,quantity unknown,,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/tropicana-orange-juice-32oz,Bottle count could not be determined automatically.
2026-07-20T22:31:17.788Z,Soda Pop Online,Tropicana Apple Juice 32oz,quantity unknown,,3.99,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/tropicana-apple-juice-32oz,Bottle count could not be determined automatically.
2026-07-20T22:31:21.166Z,Soda Pop Online,Tropicana Ruby Red Grapef 32oz,variety pack - quantity unknown,,3.99,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/tropicana-ruby-red-grapef-32oz,Bottle count could not be determined automatically.
2026-07-20T22:31:24.274Z,Soda Pop Online,Perrier Lemon 750ml,6-pack,6,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/perrier-lemon-750ml,
2026-07-20T22:31:28.139Z,Soda Pop Online,Perrier Lime 750ml,6-pack,6,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/perrier-lime-750ml,
2026-07-20T22:31:30.872Z,Soda Pop Online,Perrier Water 750ml,quantity unknown,,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/perrier-water-750ml,Bottle count could not be determined automatically.
2026-07-20T22:31:32.839Z,Soda Pop Online,There was a problem loading this website,quantity unknown,,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/minute-maid-oj-original-15-2oz,Bottle count could not be determined automatically.
2026-07-20T22:31:35.865Z,Soda Pop Online,Minute Maid CranAppRasp 15.2oz,quantity unknown,,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/minute-maid-cranapprasp-15-2oz,Bottle count could not be determined automatically.
2026-07-20T22:31:38.984Z,Soda Pop Online,Minute Maid Apple Juice 15.2oz,quantity unknown,,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/minute-maid-apple-juice,Bottle count could not be determined automatically.
2026-07-20T22:31:41.989Z,Soda Pop Online,Perrier Lemon 330ml,quantity unknown,,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/perrier-lemon-330ml,Bottle count could not be determined automatically.
2026-07-20T22:31:45.089Z,Soda Pop Online,Perrier Lime 330ml,quantity unknown,,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/perrier-lime-330ml,Bottle count could not be determined automatically.
2026-07-20T22:31:48.257Z,Soda Pop Online,Starbucks Iced Vanilla Coffee,6-pack,6,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/starbucks-iced-vanilla-coffee,
2026-07-20T22:31:51.279Z,Soda Pop Online,Starbucks Iced Caramel Coffee,6-pack,6,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/starbucks-iced-caramel-coffee,
2026-07-20T22:31:54.346Z,Soda Pop Online,Starbucks Iced LC Coffee+Milk,6-pack,6,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/starbucks-iced-lc-coffee-milk,
2026-07-20T22:31:57.392Z,Soda Pop Online,Starbucks Iced Coffee + Milk,6-pack,6,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/starbucks-iced-coffee-milk,
2026-07-20T22:32:00.457Z,Soda Pop Online,Starbucks Doubleshot Espresso,6-pack,6,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/starbucks-doubleshot-espresso,
2026-07-20T22:32:03.629Z,Soda Pop Online,Clamato Picante 32oz,quantity unknown,,5.99,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/clamato-picante-32oz-1,Bottle count could not be determined automatically.
2026-07-20T22:32:06.758Z,Soda Pop Online,Clamato 16oz,8-pack,8,3.49,0.44,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/clamato-16oz,
2026-07-20T22:32:10.023Z,Soda Pop Online,Clamato Picante 16oz,quantity unknown,,3.49,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/clamato-picante-32oz,Bottle count could not be determined automatically.
2026-07-20T22:32:13.073Z,Soda Pop Online,Clamato 32oz,quantity unknown,,5.99,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/clamato-32oz,Bottle count could not be determined automatically.
2026-07-20T22:32:16.131Z,Soda Pop Online,Glaceau V W XXX Acai 32oz,6-pack,6,,,one-time,,,Energy Pomegranate Single; Energy Pomegranate 12 Pack,USD,,https://www.sodapoponline.com/collections/all/products/glaceau-v-w-xxx-acai-32oz,
2026-07-20T22:32:19.139Z,Soda Pop Online,Powerade ZERO Strawberry 32oz,6-pack,6,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/powerade-zero-strawberry-32oz,
2026-07-20T22:32:22.163Z,Soda Pop Online,Zico Coconut Pineapple 14oz,12-pack,12,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/zico-coconut-pineapple-14oz,
2026-07-20T22:32:25.211Z,Soda Pop Online,Rockstar Coffee Vanilla L 16oz,6-pack,6,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/rockstar-coffee-vanilla-l-16oz,
2026-07-20T22:32:28.390Z,Soda Pop Online,Starbucks Frap Coffee 13.7oz,6-pack,6,2.99,0.5,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/starbucks-frap-coffee-13-7oz,
2026-07-20T22:32:31.464Z,Soda Pop Online,Lipton Iced Tea Raspberry 12oz,6-pack,6,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/012000141119copy-of-lipton-iced-tea-lemonade-12oz,
2026-07-20T22:32:34.483Z,Soda Pop Online,Lipton Iced Tea Lemonade 12oz,6-pack,6,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/lipton-iced-tea-lemonade-12oz,
2026-07-20T22:32:37.553Z,Soda Pop Online,Mtn Dew Kickstart Straw Kiwi,6-pack,6,,,one-time,,,Strawberry Watermelon Single; Strawberry Watermelon 12 Pack,USD,,https://www.sodapoponline.com/collections/all/products/mtn-dew-kickstart-straw-kiwi,
2026-07-20T22:32:40.584Z,Soda Pop Online,Mtn Dew Kickstart Pineapple,6-pack,6,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/mtn-dew-kickstart-pineapple,
2026-07-20T22:32:43.791Z,Soda Pop Online,Canada Diet Tonic Soda 1 Liter,12-pack,12,2.99,0.25,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/canada-diet-tonic-soda-1-liter,
2026-07-20T22:32:46.875Z,Soda Pop Online,Canada Dry Tonic Water 1 Liter,12-pack,12,2.99,0.25,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/canada-dry-tonic-water-1-liter,
2026-07-20T22:32:50.034Z,Soda Pop Online,Canada Dry Ginger Ale 1 Liter 12-Pack,12-pack,12,39.99,3.33,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/canada-dry-ginger-ale-1-liter-12-pack,
2026-07-20T22:32:53.174Z,Soda Pop Online,Canada Dry Club Soda 1 Liter,subscription,12,2.99,0.25,subscription,,6 months; 12 months,6 Bizarre & Odd Sodas; 12 Bizarre & Odd Sodas; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel); 6 Root Beer Pack; 12 Root Beer Pack; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel),USD,,https://www.sodapoponline.com/collections/all/products/canada-dry-club-soda-1-liter,
2026-07-20T22:32:56.196Z,Soda Pop Online,Grace Coconut Water 100% 500ml,6-pack,6,1.99,0.33,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/grace-coconut-water-100-500ml,
2026-07-20T22:32:59.301Z,Soda Pop Online,ONE Coconut Water 16.9oz,6-pack,6,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/one-coconut-water-16-9oz,
2026-07-20T22:33:02.446Z,Soda Pop Online,Zico Coconut Water 14oz,6-pack,6,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/zico-coconut-water-14oz,
2026-07-20T22:33:05.577Z,Soda Pop Online,Rockstar Pure Zero Blue Ice 16,6-pack,6,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/rockstar-pure-zero-blue-ice,
2026-07-20T22:33:08.720Z,Soda Pop Online,Rockstar Sour BubbleBerry 16oz,18-pack,18,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/rockstar-sour-bubbleberry-16oz,
2026-07-20T22:33:11.963Z,Soda Pop Online,Rockstar Recovery Lemonade 16,3-pack,3,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/rockstar-recovery-lemonade-16,
2026-07-20T22:33:15.050Z,Soda Pop Online,Rockstar Pure Z Mango Passion,12-pack,12,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/rockstar-pure-zero-mango-passion,
2026-07-20T22:33:18.263Z,Soda Pop Online,Rockstar Punched Fruit 16oz,12-pack,12,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/rockstar-punched-fruit-punch,
2026-07-20T22:33:21.509Z,Soda Pop Online,Rockstar Pure Zero Punch 16oz,12-pack,12,2.49,0.21,one-time,,6 months; 12 months,Strawberry Watermelon Single; Strawberry Watermelon 12 Pack; 5 Hour Energy Berry 2oz Single; 5 Hour Energy Berry 12 Pack; Month for 6 month(s); Month for 12 month(s); Month (Until You Cancel),USD,,https://www.sodapoponline.com/collections/all/products/rockstar-pure-zero-punched,
2026-07-20T22:33:24.642Z,Soda Pop Online,Powerade Melon 32oz,quantity unknown,,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/powerade-melon-32oz,Bottle count could not be determined automatically.
2026-07-20T22:33:27.857Z,Soda Pop Online,Powerade Mountain Blast 32oz,12-pack,12,,,one-time,,,Extra Berry Single; Extra Berry 12 Pack,USD,,https://www.sodapoponline.com/collections/all/products/powerade-mountain-blast-32oz,
2026-07-20T22:33:31.122Z,Soda Pop Online,Bob Marley Grean Tea Honey,12-pack,12,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/bob-marley-grean-tea-honey,
2026-07-20T22:33:34.211Z,Soda Pop Online,Bob Marley Black Tea PchRspbry,12-pack,12,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/bob-marley-black-tea-pchrspbry,
2026-07-20T22:33:37.391Z,Soda Pop Online,Gatorade Orange 28oz,quantity unknown,,2.98,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/gatorade-orange-28oz,Bottle count could not be determined automatically.
2026-07-20T22:33:40.518Z,Soda Pop Online,Gatorade Fruit Punch 28oz,quantity unknown,,2.98,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/gatorade-fruit-punch-28oz,Bottle count could not be determined automatically.
2026-07-20T22:33:43.609Z,Soda Pop Online,Gatorade Lemon Lime 28oz,12-pack,12,2.98,0.25,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/gatorade-lemon-lime-28oz,
2026-07-20T22:33:46.699Z,Soda Pop Online,Starbucks Doubleshot Dark Choc,6-pack,6,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/copy-of-starbucks-frap-mocha-13-7,
2026-07-20T22:33:49.938Z,Soda Pop Online,Starbucks Frappuccino Mocha Coffee Drink 6-Pack,6-pack,6,26.99,4.5,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/starbucks-frappuccino-mocha-6-pack,
2026-07-20T22:33:53.081Z,Soda Pop Online,Starbucks Frap Mocha 9.5oz,6-pack,6,,,one-time,,,,USD,,https://www.sodapoponline.com/collections/all/products/starbucks-frap-mocha-9-5oz,
